trial_id,pt_test_acc,pt_uniform_accuracy,pt_gaussian_accuracy,pt_saltandpepper_accuracy,pt_spatial_accuracy,tf_test_acc,tf_uniform_accuracy,tf_gaussian_accuracy,tf_saltandpepper_accuracy,tf_spatial_accuracy,average_res,time_this_iter_s,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,experiment_tag,config.learning_rate,config.dropout,config.epochs,config.batch_size
eb212d02,0.548773447399611,0.5435846205076975,0.5440764363841287,0.5454349069733684,0.03656343656343657,0.5148000121116638,0.5065583988660911,0.5073840689225304,0.5103059333828565,0.028071928071928078,0.4285553189183312,0.011388778686523438,True,,,2,6fe7bf655ddb4c4bb6bbd735d5823fe1,2020-11-14_04-26-26,1605327986,873.5217845439911,201791,thetagpu16,140.221.68.26,873.5217845439911,0,2,"9_batch_size=55,dropout=0.54876,epochs=15,learning_rate=0.062851",0.06285129674883974,0.5487593810165471,15,55
84aba79a,0.2574925116457782,0.25619380619380616,0.25639232562309483,0.2554253438868823,0.07559107559107558,0.3264999985694885,0.32051410128333196,0.32102256717641336,0.32072927072927077,0.008791208791208786,0.23986522094903504,0.010937929153442383,True,,,2,4602403d50ad4825978835a797268231,2020-11-14_04-47-46,1605329266,2129.2246704101562,201568,thetagpu16,140.221.68.26,2129.2246704101562,0,2,"10_batch_size=22,dropout=0.42067,epochs=37,learning_rate=0.081401",0.08140134770184629,0.4206696622880085,37,22
8a76f436,0.9319692492485047,0.9271882631257632,0.9275393009768009,0.9264136904761904,0.0008928571428571397,0.9354000091552734,0.9319558913308912,0.9322840354090354,0.9307539682539684,0.0008928571428571397,0.7445290122262141,0.011121034622192383,True,,,2,e03df838778d4695bf403c56ca292c1b,2020-11-14_04-53-55,1605329635,366.06438517570496,201623,thetagpu16,140.221.68.26,366.06438517570496,0,2,"1_batch_size=144,dropout=0.48719,epochs=34,learning_rate=0.029684",0.029683859749442206,0.48719475576454874,34,144
8a7c21ea,0.8387497455574745,0.8284979282295919,0.8294917664327324,0.8311296882406007,0.010224110514808182,0.8666999936103821,0.8567611577450576,0.857754995948198,0.8599261501765975,0.007950705625124222,0.6787186242080567,0.009592771530151367,True,,,2,2f0a96281321438eb5693d00a9b7018d,2020-11-14_04-59-38,1605329978,708.7359104156494,201754,thetagpu16,140.221.68.26,708.7359104156494,0,2,"2_batch_size=78,dropout=0.50705,epochs=41,learning_rate=0.043",0.04300025863583537,0.5070481359134886,41,78
8a7dd742,0.9491187404183781,0.9479540489936028,0.9481243120949003,0.9444683995901033,0.0,0.9531000256538391,0.9509984902986931,0.9512438694740925,0.9479904209873783,0.0,0.7592998307510987,0.010960578918457031,True,,,2,e6e9990ce3c244da98d759d3a9939422,2020-11-14_04-51-00,1605329460,191.05357766151428,201640,thetagpu16,140.221.68.26,191.05357766151428,0,2,"3_batch_size=296,dropout=0.24448,epochs=29,learning_rate=0.03833",0.03833034905742494,0.2444758766297842,29,296
8a7f6e40,0.9702940187592437,0.9700018580453363,0.9700249234357181,0.9681258729609552,0.0,0.9692000150680542,0.9689123387024438,0.9690353541178128,0.9670594190084445,0.0,0.7752653800098008,0.00946664810180664,True,,,2,0b9af01497084bd591bf7080e79e0288,2020-11-14_05-09-52,1605330592,1322.5254256725311,201602,thetagpu16,140.221.68.26,1322.5254256725311,0,2,"4_batch_size=29,dropout=0.61108,epochs=25,learning_rate=0.0027769",0.0027769033797626326,0.6110763377406321,25,29
8a8119de,0.9367063482602437,0.9309396621896623,0.9318223443223442,0.9298780694614027,0.0,0.9442999958992004,0.938081671415005,0.9388795617962284,0.9386938678605343,9.920634920634885e-05,0.7489400727553828,0.01021122932434082,True,,,2,2bffcd27845e47de99ec6ed808fa3b1e,2020-11-14_04-52-02,1605329522,252.64745545387268,201627,thetagpu16,140.221.68.26,252.64745545387268,0,2,"5_batch_size=224,dropout=0.27899,epochs=39,learning_rate=0.046745",0.04674486315384966,0.2789915057262587,39,224
8a82bff0,0.8571499834680771,0.8498677704955734,0.8508106243532252,0.8512283929324288,0.0076731439960139565,0.8496000170707703,0.8406998581886475,0.8415047334329846,0.842715879038749,0.009367214748380672,0.680061761772485,0.010936737060546875,True,,,2,81feb7cfb3d843519c189bdb6b2ab49a,2020-11-14_05-05-13,1605330313,1043.6050953865051,201667,thetagpu16,140.221.68.26,1043.6050953865051,0,2,"6_batch_size=45,dropout=0.42993,epochs=28,learning_rate=0.036678",0.03667833862699766,0.42993024313124834,28,45
8a847688,0.719232426239894,0.711725124739436,0.7125049054834385,0.7136210622346578,0.007453786523553974,0.7226999998092651,0.7145078717082294,0.7151500440856433,0.7158750363133191,0.03070960047704234,0.576347985761448,0.013064384460449219,True,,,2,18f23423e2e14c0cae95d83a8c6e2fad,2020-11-14_04-58-36,1605329916,646.1824345588684,201633,thetagpu16,140.221.68.26,646.1824345588684,0,2,"7_batch_size=86,dropout=0.45376,epochs=33,learning_rate=0.061075",0.06107516904441719,0.45375755437200216,33,86
8a8646fc,0.9298937183160049,0.9229822527899453,0.9241974905436443,0.922064047064047,9.990009990009907e-05,0.9369999766349792,0.9307425480502405,0.9314900911054758,0.9304653679653679,9.990009990009907e-05,0.7429035292669505,0.009966611862182617,True,,,2,1734bd821dce45028a47e05a03083750,2020-11-14_04-54-41,1605329681,411.61304569244385,201683,thetagpu16,140.221.68.26,411.61304569244385,0,2,"8_batch_size=154,dropout=0.35118,epochs=64,learning_rate=0.039606",0.03960587627278075,0.35117975134501833,64,154
8a87f768,0.9516427792035617,0.9493029150823826,0.949617896970924,0.9470980418625928,0.0,0.949999988079071,0.947608012539279,0.9481704801973887,0.9450356604495241,0.0,0.7588475774384724,0.010464906692504883,True,,,2,ab8ba397314145af96d0b4bce7e71a28,2020-11-14_04-55-04,1605329704,240.82409167289734,201396,thetagpu16,140.221.68.26,240.82409167289734,0,2,"9_batch_size=263,dropout=0.38642,epochs=46,learning_rate=0.035092",0.03509181086427659,0.386417987794527,46,263
