trial_id,tf_test_acc,average_res,time_this_iter_s,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,experiment_tag,config.learning_rate,config.dropout,config.epochs,config.batch_size
803e7c02,0.04670000076293945,0.04670000076293945,0.008292675018310547,True,,,2,691a1ef190954479898df31526e42155,2020-11-13_09-30-17,1605259817,143.06390643119812,169446,thetagpu13,140.221.68.23,143.06390643119812,0,2,"2_batch_size=102,dropout=0.63568,epochs=40,learning_rate=0.058887",0.058886729927944075,0.6356794585061432,40,102
80409794,0.04670000076293945,0.04670000076293945,0.00808405876159668,True,,,2,16ce8034af8b4e8ebd07b8fda46c7768,2020-11-13_09-28-41,1605259721,47.192513942718506,169208,thetagpu13,140.221.68.23,47.192513942718506,0,2,"3_batch_size=262,dropout=0.48657,epochs=21,learning_rate=0.001745",0.0017450430516721188,0.48657423036819025,21,262
8042d220,0.04670000076293945,0.04670000076293945,0.007055521011352539,True,,,2,58fff733ff8648999bf395bc2b4b2fd4,2020-11-13_09-31-09,1605259869,195.39880871772766,169260,thetagpu13,140.221.68.23,195.39880871772766,0,2,"4_batch_size=80,dropout=0.83954,epochs=52,learning_rate=0.049212",0.049211535832111304,0.8395388878094381,52,80
8044dfc0,0.04670000076293945,0.04670000076293945,0.00742030143737793,True,,,2,0d38b4deee6141da8768addc3dbfd575,2020-11-13_09-29-47,1605259787,112.78817820549011,169385,thetagpu13,140.221.68.23,112.78817820549011,0,2,"5_batch_size=279,dropout=0.62098,epochs=59,learning_rate=0.020803",0.02080256370630599,0.620982813896652,59,279
804741d4,0.04670000076293945,0.04670000076293945,0.007146596908569336,True,,,2,8831c968442a48d5b9820f0099e0b083,2020-11-13_09-29-37,1605259777,103.52798628807068,169201,thetagpu13,140.221.68.23,103.52798628807068,0,2,"6_batch_size=221,dropout=0.53147,epochs=49,learning_rate=0.0047207",0.004720694829115361,0.531470425537465,49,221
80498df4,0.04670000076293945,0.04670000076293945,0.011765480041503906,True,,,2,f72d9efee2d547328c764513bb0aee55,2020-11-13_09-29-33,1605259773,98.69402933120728,169414,thetagpu13,140.221.68.23,98.69402933120728,0,2,"7_batch_size=275,dropout=0.49052,epochs=48,learning_rate=0.0060393",0.006039295976702024,0.49052068287693246,48,275
804b9b62,0.04670000076293945,0.04670000076293945,0.009191036224365234,True,,,2,cb8fa5dddada4f74b4f84a80cdddab20,2020-11-13_09-35-13,1605260113,439.24285984039307,169380,thetagpu13,140.221.68.23,439.24285984039307,0,2,"8_batch_size=29,dropout=0.49432,epochs=55,learning_rate=0.004443",0.004443011712712057,0.4943236443172085,55,29
804dbd3e,0.04670000076293945,0.04670000076293945,0.008556127548217773,True,,,2,d3b36b82d71b4bdc91d408ce62cf25a9,2020-11-13_09-31-56,1605259916,191.8674511909485,169173,thetagpu13,140.221.68.23,191.8674511909485,0,2,"9_batch_size=73,dropout=0.82465,epochs=51,learning_rate=0.021453",0.021453067179413532,0.8246538405758613,51,73
9e349c5a,0.04670000076293945,0.04670000076293945,0.009465456008911133,True,,,2,dcae5a580e274a04a3a118a7791cf4b5,2020-11-13_09-30-43,1605259843,111.3963394165039,169214,thetagpu13,140.221.68.23,111.3963394165039,0,2,"10_batch_size=157,dropout=0.69193,epochs=48,learning_rate=0.033396",0.03339585299204657,0.6919295975737384,48,157
8824ad00,0.04670000076293945,0.04670000076293945,0.006310701370239258,True,,,2,7d79106c29124e3fb00ddfc916a8b18f,2020-11-13_09-36-15,1605260175,58.38992977142334,169534,thetagpu13,140.221.68.23,58.38992977142334,0,2,"1_batch_size=291,dropout=0.57233,epochs=29,learning_rate=0.067031",0.0670305884734735,0.5723335104061084,29,291
8829c290,0.04670000076293945,0.04670000076293945,0.007298469543457031,True,,,2,532392a054034d7d9f453ba852c2726c,2020-11-13_09-35-46,1605260146,29.70880961418152,169311,thetagpu13,140.221.68.23,29.70880961418152,0,2,"2_batch_size=274,dropout=0.56981,epochs=12,learning_rate=0.085369",0.08536858938293973,0.5698078758336081,12,274
882baf6a,0.04670000076293945,0.04670000076293945,0.0072247982025146484,True,,,2,d8cf17f4f1fe405cb27ea39efb7f9fdd,2020-11-13_09-35-50,1605260150,33.79650330543518,169452,thetagpu13,140.221.68.23,33.79650330543518,0,2,"3_batch_size=306,dropout=0.46807,epochs=14,learning_rate=0.048479",0.04847918820371111,0.4680705598018217,14,306
882f1a6a,0.04670000076293945,0.04670000076293945,0.006307125091552734,True,,,2,5519466dcbdb48f3b56b9b2e9689ea8b,2020-11-13_09-36-41,1605260201,84.3739161491394,169160,thetagpu13,140.221.68.23,84.3739161491394,0,2,"4_batch_size=124,dropout=0.52608,epochs=29,learning_rate=0.040286",0.040286411734201874,0.5260761939190319,29,124
88313796,0.04670000076293945,0.04670000076293945,0.007429599761962891,True,,,2,92f6f4e67d314bc9a25982b7eb02ed33,2020-11-13_09-37-04,1605260224,107.44213104248047,169512,thetagpu13,140.221.68.23,107.44213104248047,0,2,"5_batch_size=226,dropout=0.58312,epochs=58,learning_rate=0.08044",0.0804396722571433,0.5831234472735258,58,226
