trial_id,pt_test_acc,tf_test_acc,pt_uniform_accuracy,tf_uniform_accuracy,pt_gaussian_accuracy,tf_gaussian_accuracy,pt_saltandpepper_accuracy,tf_saltandpepper_accuracy,pt_spatial_accuracy,tf_spatial_accuracy,average_res,time_this_iter_s,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,experiment_tag,config.learning_rate,config.dropout,config.epochs,config.batch_size
9b380152,0.9352109986505691,0.9469000101089478,0.9350042871141598,0.9469010289073984,0.9349430426261638,0.9468627511024007,0.9329679078882901,0.9447957496325332,0.0,0.0,0.7523585776030463,554.8416972160339,True,,,1,db344871a7cd421895fb8d8bfc1e1855,2020-10-23_11-58-00,1603472280,554.8416972160339,139823,iotagpu02,140.221.68.6,554.8416972160339,0,1,"7_batch_size=914,dropout=0.43335,epochs=52,learning_rate=0.057582",0.057582436917307106,0.4333547113919413,52,914
9b3826b4,0.9361066966299798,0.9472000002861023,0.9361602768250857,0.9470082067613914,0.9361143434590886,0.9469163400293974,0.9341162420382165,0.945247427731504,0.0,0.0,0.7528869533760766,543.9303951263428,True,,,1,9beb4b83be794166a535f21f64f67dcf,2020-10-23_11-57-49,1603472269,543.9303951263428,139714,iotagpu02,140.221.68.6,543.9303951263428,0,1,"8_batch_size=497,dropout=0.40198,epochs=54,learning_rate=0.055737",0.05573736253385997,0.4019773559043319,54,497
9b3851de,0.9342157749613379,0.9466999769210815,0.934330597746203,0.9469010289073982,0.9343612199902009,0.9470082067613914,0.9321334517393434,0.9453469500244979,0.0,0.0,0.7520997207051454,550.4401381015778,True,,,1,c80caa53fc3446e7b33a0917ea9c20fc,2020-10-23_12-07-03,1603472823,550.4401381015778,139831,iotagpu02,140.221.68.6,550.4401381015778,0,1,"9_batch_size=428,dropout=0.4531,epochs=52,learning_rate=0.058572",0.05857180964835529,0.45310172550747724,52,428
9b387cf4,0.9331210301180554,0.944100022315979,0.9336875306222441,0.944451249387555,0.9335267638412542,0.9445124938755513,0.9310004287114161,0.9425832925036748,0.0,0.0,0.750698281137573,551.7441728115082,True,,,1,ea7c59d36d474fa997c1f5850dd052eb,2020-10-23_12-07-16,1603472836,551.7441728115082,139750,iotagpu02,140.221.68.6,551.7441728115082,0,1,"10_batch_size=907,dropout=0.27005,epochs=97,learning_rate=0.039439",0.0394390444913674,0.27005269677329463,97,907
33d13a12,0.934912430632646,0.9427000284194946,0.9352109872611465,0.942767025967663,0.9350578760411563,0.9428206148946595,0.93265402988731,0.9409756246937777,0.0,0.0,0.7507098617797854,555.357958316803,True,,,1,518dfbbceb6640eebb38c722821a7acd,2020-10-23_12-16-36,1603473396,555.357958316803,139725,iotagpu02,140.221.68.6,555.357958316803,0,1,"1_batch_size=881,dropout=0.25611,epochs=73,learning_rate=0.048389",0.048389060004804564,0.2561075358148597,73,881
33d16f8c,0.9342157730631008,0.9447000026702881,0.9345832312591867,0.944795749632533,0.9344990200881921,0.9449105830475257,0.9323095296423323,0.9431957373836355,0.0,0.0,0.7513209626786794,563.9029679298401,True,,,1,3252bbff8e5a4c71bf0e31812ec04dca,2020-10-23_12-16-44,1603473404,563.9029679298401,139808,iotagpu02,140.221.68.6,563.9029679298401,0,1,"2_batch_size=618,dropout=0.49002,epochs=80,learning_rate=0.05329",0.05329043265778152,0.490018436428418,80,618
33d19dea,0.9370023957483328,0.9453999996185303,0.9371784664380204,0.9453546055854974,0.9371478441940226,0.9454081945124939,0.9348894536991671,0.9434789931406175,0.0,0.0,0.7525859952936682,555.3187446594238,True,,,1,bca6a2f02e624659baad421625d55f4b,2020-10-23_12-16-36,1603473396,555.3187446594238,139711,iotagpu02,140.221.68.6,555.3187446594238,0,1,"3_batch_size=939,dropout=0.21387,epochs=54,learning_rate=0.061552",0.06155212386519239,0.21386925832720777,54,939
33d1c46e,0.9320262860340677,0.9438999891281128,0.9321411073003429,0.9438694267515924,0.9321640739833414,0.9438923934345909,0.9299516168544832,0.9420244365507104,0.0,0.0,0.7499969330037242,564.9627678394318,True,,,1,fea8432a30e84f85b6502c801fddde6c,2020-10-23_12-16-45,1603473405,564.9627678394318,139847,iotagpu02,140.221.68.6,564.9627678394318,0,1,"4_batch_size=408,dropout=0.36637,epochs=60,learning_rate=0.034911",0.03491125973535513,0.3663693386395257,60,408
33d1edd6,0.9320262864137151,0.9430000185966492,0.9324320186183244,0.9431880818226357,0.932439674179324,0.9432110485056343,0.9302272170504654,0.9415574473297403,0.0,0.0,0.7498081792516489,555.648631811142,True,,,1,4a821e1d5cd843189bf79d5663981b44,2020-10-23_12-16-36,1603473396,555.648631811142,139700,iotagpu02,140.221.68.6,555.648631811142,0,1,"5_batch_size=910,dropout=0.43446,epochs=58,learning_rate=0.023833",0.02383283186966293,0.43446380069438384,58,910
33d21536,0.9362062181636785,0.9448999762535095,0.9361373101420871,0.9453775722684958,0.9360377878490935,0.945484750122489,0.9339401641352278,0.9436397599216071,0.0,0.0,0.7521723538856189,546.3276100158691,True,,,1,8c6ec35894dc404bba51cde77715c59d,2020-10-23_12-16-27,1603473387,546.3276100158691,139844,iotagpu02,140.221.68.6,546.3276100158691,0,1,"6_batch_size=532,dropout=0.29941,epochs=77,learning_rate=0.040658",0.04065764323406359,0.2994118879386036,77,532
33d23b88,0.9349124272158191,0.9440000057220459,0.9350195982361587,0.944328760411563,0.9350655316021558,0.9442828270455659,0.9328454189122979,0.9427057814796669,0.0,0.0,0.7513160350625273,550.9726598262787,True,,,1,04990461188a4ffaa446db45b5398042,2020-10-23_12-16-31,1603473391,550.9726598262787,139709,iotagpu02,140.221.68.6,550.9726598262787,0,1,"7_batch_size=973,dropout=0.51729,epochs=47,learning_rate=0.0096116",0.009611620103601162,0.5172929422272518,47,973
